Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
332,621 Cab,Overhead Cranes,Port,WAC18001W,FALSE,D23122270545,3/26/2024,R410A,washable,2,Window Unit,,0,31ozs
486,Main Guard Shack - Window Unit,Outer Bldgs,Main Guard Shack - Window Unit,AJES12DCBM1,FALSE,DL350908,1/1/2018,R410A,washable,2,Window Unit,,0,18 OZ
438,WAL URSEY WEST PTAC WH UPSTAIRS,MS Outer Bldgs,WAL URSEY WEST PTAC WH UPSTAIRS,PTEE1501UAA,FALSE,E06G11237E,,R22,washable,2,PTAC,,0,25.7 OZ
432,Warehouse Breakroom,MS Outer Bldgs,Warehouse Breakroom,PTED1501JCA,FALSE,F05A01821A,,R22,washable,2,PTAC,,0,26.5 OZ
051,DONNIE ECHOLS Tool Locker,LMF,DONNIE ECHOLS Tool Locker,PTED1501JCA,FALSE,F05A01824A,,R22,washable,2,PTAC,,0,26.5 OZ
213,Galv Line Electrical Maint PTAC,Cold Mill,Galv Line Electrical Maint PTAC,PTED1501JCA,FALSE,F05A01863A,1/1/2017,R22,washable,2,PTAC,,0,26.5 OZ
423,South Rail Scale,MS Outer Bldgs,South Rail Scale,PTEE1501UAA,FALSE,F06G11240E,,R22,washable,2,PTAC,,0,25.7 OZ
162,Bearing Locker P-Tac,Hot Mill,Bearing Locker,PTEE1501UAA,FALSE,F06G11244E,1/1/2017,R22,washable,2,PTAC,,0,25.7 OZ
212,Production Supv. Office PTAC,Cold Mill,Production Supv. Office PTAC,PTEE15014AA,FALSE,F06G124288E,,R22,washable,2,PTAC,,0,25.7 OZ
415,BAGHOUSE SILO OFFICE,MS Outer Bldgs,BAGHOUSE SILO OFFICE,PTEE1501UAA,FALSE,F06J01930E,1/1/2018,R410A,washable,2,PTAC,,0,25.7OZ
111,Breakroom   NORTH UNIT,Hot Mill,Breakroom   NORTH UNIT,PTEE1501UAA,FALSE,F06J01934E,,R22,washable,2,PTAC,,0,25.7OZ
430,Warehouse Receiving Office,MS Outer Bldgs,Warehouse Receiving Office,PTEE1501UAA,FALSE,F06K02166E,,R22,washable,2,PTAC,,0,25.7 OZ
401,MELTSHOP LAB ELECTRIC RM,MS Outer Bldgs,MELTSHOP LAB ELECTRIC RM,PTEE1501UAA,FALSE,F06K03791E,,R22,Washable,2,PTAC,,0,25.7OZ
